name@version*;license*;copyrights*;end-of-support;dependencies;language;repository;email;URL
aaeporch-cxfclient-2.0.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
aggregatore-4.1.12.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
aggregatoreutil-3.0.2.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
aopalliance-1.0.0.jar;Public Domain;;;;Java;;;
axis-1.4.jar;Apache-2.0;;;;Java;;;
blocchetti-os-2.17.0.jar;;;;;Java;;;
bsh-2.0b6.jar;Apache-2.0;;;;Java;;;
commons-beanutils-1.8.3.jar;Apache-2.0;;;;Java;;;
commons-collections-3.2.jar;Apache-2.0;;;;Java;;;
commons-discovery-0.2.jar;Apache-1.1;;;;Java;;;
commons-fileupload-1.2.jar;Apache-2.0;;;;Java;;;
commons-httpclient-2.0.2.jar;Apache-2.0;;;;Java;;;
commons-io-1.1.jar;Apache-2.0;;;;Java;;;
commons-lang-2.2.jar;Apache-2.0;;;;Java;;;
commons-lang3-3.1.jar;Apache-2.0;;;;Java;;;
commons-logging-1.1.1.jar;Apache-2.0;;;;Java;;;
commons-validator-1.6.jar;Apache-2.0;;;;Java;;;
core-renderer.jar;LGPL-2.1;;;;Java;;;
csi-stadapter-1.4.5.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
displaytag-1.2.jar;Artistic-2.0;;;;Java;;;
dosign-client-service-5.4.0-jdk160-38.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
ecmengine-ws-client-6.6.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
freemarker-2.3.26.jar;Apache-2.0;;;;Java;;;
gson-2.2.4.jar;Apache-2.0;;;;Java;;;
iText-2.0.8.jar;MPL-1.1;;;;Java;;;
iridev2-pep-intf-2.0.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
jackson-annotations-2.6.2.jar;Apache-2.0;;;;Java;;;
jackson-core-2.6.2.jar;Apache-2.0;;;;Java;;;
jackson-databind-2.6.2.jar;Apache-2.0;;;;Java;;;
jsonplugin-0.32.jar;Apache-2.0;;;;Java;;;
log4j-1.2.8.jar;Apache-2.0;;;;Java;;;
mail-1.2.jar;Libreria Java di Base;;;;Java;;;
ognl-2.6.10.jar;"The OpenSymphony Software License 1.1; BSD";;;;Java;;;
postgresql-9.0-801.jdbc3.jar;BSD;;;;Java;;;
remincl-1.0.2.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
spring-aop-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-beans-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-context-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-core-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-expression-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-jdbc-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-tx-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-web-4.1.2.RELEASE.jar;Apache-2.0;;;;Java;;;
spring-ws-1.5.9-all.jar;Apache-2.0;;;;Java;;;
struts2-core-2.0.11.2.csi-1.0.0.jar;Libreria personalizzata CSI basata su Apache-2.0;;;;Java;;;
struts2-spring-plugin-2.0.11.2.jar;Apache-2.0;;;;Java;;;
util-beanlocatorfactory-1.0.1.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
util-perf-1.0.1.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
util-struts2-csitemplate-1.2.0.jar;"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)";;;;Java;;;
wsdl4j-1.6.2.jar;CPL-1.0;;;;Java;;;
xstream-1.3.1.jar;BSD;;;;Java;;;
xwork-2.0.5.jar;The OpenSymphony Software License 1.1;;;;Java;;;
xwork-core-2.3.28.1.jar;Apache-2.0;;;;Java;;;
